"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6351123",-117.689022113,33.6298,2013,"3050","0","2","2","09",0,1,"B",,,"Y",,,1800,12,"D","C","A","EL TORO RD","2ND ST",0,,"Y","2014-05-20",3000,"2013-12-03",1710,"2849","891J4","5","5","0","0",,"0","765","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","B","A","0","Y","A","01",1,0,0,0,0,0,0,0,1,"-","-","LAKE FOREST","ORANGE","CA",0,0
"6354702",-117.610902052,33.4265,2013,"3017","0","7","2","03",0,1,"A","Y",,,,"Y",1800,12,"G","B","D","AVENIDA PRESIDIO","AVENIDA DE LA ESTRELLA",0,,"Y","2014-12-22",3000,"2013-12-29",1600,"2742","992J4","5","5","0","0",,"0","777","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","07",1,0,0,0,1,0,0,0,0,"-","-","SAN CLEMENTE","ORANGE","CA",0,0
"6357163",-117.763403287,33.8907,2013,"3025","0","7","2","08",0,2,"A",,,,,,1500,12,"A","C","A","YORBA LINDA BL","YORBA RANCH RD",20,"E","N","2014-05-19",3002,"2013-12-22",1420,"9197","740H4","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",1,1,0,0,0,0,0,0,0,"-","-","YORBA LINDA","ORANGE","CA",0,0
"6358289",-117.931278702,33.8542,2013,"3001","3","1","2","01",0,4,"A",,,,,"Y",300,11,"C","C","A","RT 91","HARBOR BL",2112,"W","N","2014-05-09",9670,"2013-11-25",204,"19502",,"3","7","0","1",,"2","094","-","Y",,0,0,,,0,,,,"Y",3,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",3,1,0,0,0,0,0,0,0,"-","-","ANAHEIM","ORANGE","CA",-117.92884,33.85391
"6360189",-117.966047357,33.888,2013,"3008","0","6","2","11",0,1,"-","Y",,,,,1800,12,"G","B","D","GILBERT ST","PIONEER AV",85,"S","N","2014-06-24",3008,"2013-12-07",1735,"1344",,"5","6","0","0",,"0","0Z1","-","N",,0,0,,,0,,,,"Y",2,"A","-",21954,"A","N","-","-","-","-","A","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","FULLERTON","ORANGE","CA",0,0
"6362194",-117.790006314,33.8546,2013,"3001","3","2","2","08",0,1,"A",,,"Y",,,600,11,"B","C","A","RT 91","IMPERIAL HWY",200,"E","N","2014-05-09",9675,"2013-11-12",540,"15784",,"3","7","0","1",,"2","094","-","Y",,0,0,,,0,,,,"Y",3,"A","-",22107,,"N","A","H","-","B","D","0","Y","A","01",1,0,0,0,0,0,0,0,1,"-","-","ANAHEIM","ORANGE","CA",-117.7903,33.86462
"6364459",-117.986570442,33.694,2013,"3010","0","1","2","01",0,1,"A",,,,,"Y",2100,12,"C","E","A","ELLIS","DEMION",94,"W","N","2014-05-29",3010,"2013-12-23",2015,"1118","413","5","6","0","0",,"0","005","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","07",1,0,0,0,0,0,0,0,0,"-","-","HUNTINGTON BEACH","ORANGE","CA",-117.59194,33.41645
"6368951",-117.812932145,33.8877,2013,"3025","0","7","2","01",0,2,"A",,,,,"Y",300,10,"E","I","A","IMPERIAL HWY","YORBA LINDA BL",360,"S","N","2014-04-25",3002,"2013-10-27",208,"9201","740B4","5","5","0","0",,"0","002","-","Y",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","C","A","0","Y","A","01",1,1,0,0,0,0,0,0,0,"-","-","YORBA LINDA","ORANGE","CA",0,0
"6369151",-117.932852212,33.9147,2013,"3012","0","1","2","09",0,1,"A",,"Y",,,,1800,12,"D","G","A","LAS RIENDAS DR","HARBOR BL",0,,"Y","2014-05-13",3012,"2013-12-02",1730,"462","49","5","5","0","0",,"0","004","-","Y",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","C","D","0","Y","A","07",1,0,0,0,0,0,1,0,0,"-","-","LA HABRA","ORANGE","CA",0,0
"6391598",-117.843822183,33.7455,2013,"3019","0","6","2","12",0,2,"A",,,,,,1200,1,"D","C","A","1ST ST","ELK LN",0,,"Y","2014-03-14",3019,"2013-01-19",940,"9086","SE","5","7","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6436188",-117.744067888,33.6617,2013,"3026","0","4","2","00",0,1,"A",,,"Y",,,1800,5,"F","A","A","BARRANCA PKWY","TECHNOLOGY WEST",75,"W","N","2014-04-21",3026,"2013-05-23",1721,"6352",,"5","6","0","0",,"0","00P","-","N",,0,0,,,0,,,,"Y",1,"D","-",0,,"N","A","H","-","A","A","0","Y","-","-",1,0,0,0,0,0,0,0,1,"-","-","IRVINE","ORANGE","CA",0,0
"6436232",-117.993062123,33.7866,2013,"3021","0","6","2","07",0,2,"A",,,,,,2100,4,"B","C","A","BEACH BL","PARK PLZ",102,"N","N","2014-04-17",3000,"2013-04-06",2020,"1185","797J4","5","4","0","0",,"0","023","-","N",,0,0,,,0,,,,"Y",2,"A","-",21658,"A","N","A","H","-","C","D","0","Y","A","08",1,0,1,0,0,0,0,0,0,"-","-","STANTON","ORANGE","CA",0,0
"6457451",-117.674342166,33.5804,2013,"3045","0","4","2","00",0,1,"A",,,,,,1500,7,"D","C","A","OSO PKY","CABOT RD",0,,"Y","2014-04-29",3000,"2013-07-11",1215,"1916","922B4","5","4","0","0",,"0","746","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"N","A","H","-","A","D","0","Y","-","-",1,0,0,0,0,0,0,0,0,"-","-","LAGUNA HILLS","ORANGE","CA",0,0
